"component","deltamz","deltamz_int","EdgeScore","EdgeType","interaction","matched_peaks","name","scan1","scan2","score","selected","shared interaction","shared name"
"71","352.208","352","0.9629","Cosine","-","0","23925 (-) 18479","23925","18479","0.9629","false","-","23925 (-) 18479"
"71","88.052","88","0.9632","Cosine","-","0","23925 (-) 16761","23925","16761","0.9632","false","-","23925 (-) 16761"
"71","-0.001","0","0.9614","Cosine","-","0","23925 (-) 16192","23925","16192","0.9614","false","-","23925 (-) 16192"
"71","-308.184","-308","0.9606","Cosine","-","0","23925 (-) 13864","23925","13864","0.9606","false","-","23925 (-) 13864"
"45","74.037","74","0.9103","Cosine","-","0","25077 (-) 22083","25077","22083","0.9103","false","-","25077 (-) 22083"
"45","-53.048","-53","0.8845","Cosine","-","0","25077 (-) 24915","25077","24915","0.8845","false","-","25077 (-) 24915"
"45","-57.01","-57","0.9217","Cosine","-","0","25077 (-) 26087","25077","26087","0.9217","false","-","25077 (-) 26087"
"45","17.026","17","0.9048","Cosine","-","0","25077 (-) 28676","25077","28676","0.9048","false","-","25077 (-) 28676"
"45","3.995","3","0.8966","Cosine","-","0","25077 (-) 40381","25077","40381","0.8966","false","-","25077 (-) 40381"
"45","0.984","0","0.926","Cosine","-","0","25077 (-) 18845","25077","18845","0.926","false","-","25077 (-) 18845"
"904","60.021","60","0.81","Cosine","-","0","13478 (-) 22994","13478","22994","0.81","false","-","13478 (-) 22994"
"542","-633.399","-633","0.9598","Cosine","-","0","14894 (-) 17641","14894","17641","0.9598","false","-","14894 (-) 17641"
"542","-88.049","-88","0.9474","Cosine","-","0","14894 (-) 15653","14894","15653","0.9474","false","-","14894 (-) 15653"
"542","132.083","132","0.9616","Cosine","-","0","14894 (-) 14222","14894","14222","0.9616","false","-","14894 (-) 14222"
"542","-88.054","-88","0.9561","Cosine","-","0","14894 (-) 14178","14894","14178","0.9561","false","-","14894 (-) 14178"
"542","0.006","0","1.0","Cosine","-","0","14894 (-) 13152","14894","13152","1.0","false","-","14894 (-) 13152"
"542","-44.022","-44","0.9651","Cosine","-","0","14894 (-) 12862","14894","12862","0.9651","false","-","14894 (-) 12862"
"542","44.025","44","0.9521","Cosine","-","0","14894 (-) 12400","14894","12400","0.9521","false","-","14894 (-) 12400"
"542","-897.559","-897","0.9599","Cosine","-","0","14894 (-) 19101","14894","19101","0.9599","false","-","14894 (-) 19101"
"542","-176.096","-176","0.962","Cosine","-","0","14894 (-) 23974","14894","23974","0.962","false","-","14894 (-) 23974"
"542","-677.417","-677","0.9632","Cosine","-","0","14894 (-) 19945","14894","19945","0.9632","false","-","14894 (-) 19945"
"238","30.011","30","0.891","Cosine","-","0","7723 (-) 8034","7723","8034","0.891","false","-","7723 (-) 8034"
"238","-33.984","-33","0.8694","Cosine","-","0","7723 (-) 4663","7723","4663","0.8694","false","-","7723 (-) 4663"
"2429","0.0","0","0.9234","Cosine","-","0","25323 (-) 26495","25323","26495","0.9234","false","-","25323 (-) 26495"
"1311","-0.086","0","0.938","Cosine","-","0","2157 (-) 2187","2157","2187","0.938","false","-","2157 (-) 2187"
